                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2759,                 1.2953,                 1.4045,                 0.6338,                0.61479,                0.60673,                0.34688,                 1.5092,                 1.3644,                 1.7396,               0.005149,               0.005149,               0.005149
                     51,                 1.2649,                 1.2911,                 1.3989,                 0.6617,                0.60618,                0.62821,                0.36197,                 1.4627,                 1.4313,                 1.7026,                0.00505,                0.00505,                0.00505
                     52,                 1.2731,                 1.2803,                 1.4057,                0.69572,                0.54826,                0.61893,                0.37939,                 1.4551,                  1.354,                 1.7076,               0.004951,               0.004951,               0.004951
                     53,                 1.2471,                 1.2496,                 1.3871,                0.71644,                0.62548,                0.66476,                0.38512,                 1.5132,                 1.3198,                  1.744,               0.004852,               0.004852,               0.004852
                     54,                 1.2561,                 1.2527,                 1.3861,                0.72197,                0.61004,                0.67435,                0.38473,                 1.4961,                 1.2728,                 1.7386,               0.004753,               0.004753,               0.004753
                     55,                 1.2675,                 1.2467,                  1.399,                0.64052,                0.63707,                0.64315,                0.38587,                 1.5009,                 1.2723,                  1.728,               0.004654,               0.004654,               0.004654
                     56,                  1.244,                 1.2297,                 1.3894,                0.62589,                0.63949,                0.63042,                 0.3898,                 1.4484,                 1.2842,                 1.7083,               0.004555,               0.004555,               0.004555
                     57,                 1.2471,                 1.2152,                  1.389,                0.66272,                0.65637,                0.65605,                0.39614,                 1.4983,                 1.2799,                 1.7577,               0.004456,               0.004456,               0.004456
                     58,                 1.2497,                  1.213,                 1.3801,                0.66882,                0.62378,                0.63746,                0.37274,                 1.5236,                 1.2948,                 1.7724,               0.004357,               0.004357,               0.004357
                     59,                 1.2192,                 1.1955,                 1.3661,                 0.6222,                 0.6332,                0.62758,                0.38116,                 1.4837,                 1.3221,                 1.7129,               0.004258,               0.004258,               0.004258
                     60,                 1.2372,                 1.2259,                 1.3739,                0.71184,                0.57143,                0.64431,                0.38419,                 1.5287,                 1.2931,                 1.7631,               0.004159,               0.004159,               0.004159
                     61,                 1.2189,                 1.1795,                 1.3649,                0.67463,                0.63245,                0.63314,                0.37607,                 1.5075,                 1.2978,                  1.773,                0.00406,                0.00406,                0.00406
                     62,                 1.2024,                 1.1864,                 1.3657,                0.72458,                0.58301,                0.63667,                0.38722,                 1.5392,                 1.3204,                 1.7759,               0.003961,               0.003961,               0.003961
                     63,                 1.2016,                 1.1778,                 1.3608,                0.67778,                0.61004,                 0.6389,                0.38388,                 1.4879,                 1.2971,                 1.7631,               0.003862,               0.003862,               0.003862
                     64,                  1.204,                 1.1604,                 1.3543,                0.75595,                0.58687,                0.65197,                0.38199,                 1.4812,                 1.2537,                 1.7398,               0.003763,               0.003763,               0.003763
                     65,                 1.1969,                 1.1556,                 1.3472,                0.76304,                0.58435,                 0.6656,                0.38182,                 1.5311,                 1.2927,                 1.7806,               0.003664,               0.003664,               0.003664
                     66,                 1.2036,                 1.1532,                 1.3448,                0.72215,                0.58687,                0.65028,                0.37451,                 1.5198,                  1.237,                 1.7873,               0.003565,               0.003565,               0.003565
                     67,                 1.1692,                 1.1155,                 1.3368,                0.69313,                0.62791,                0.63701,                0.36511,                   1.51,                 1.2689,                 1.7634,               0.003466,               0.003466,               0.003466
                     68,                 1.1811,                 1.1401,                 1.3431,                0.72105,                0.58687,                0.63821,                0.37557,                 1.5124,                 1.2462,                 1.7513,               0.003367,               0.003367,               0.003367
                     69,                 1.1665,                 1.1177,                 1.3427,                0.72871,                0.58301,                0.64415,                0.37813,                  1.546,                 1.2831,                 1.7765,               0.003268,               0.003268,               0.003268
                     70,                 1.1365,                 1.1188,                 1.3154,                0.69431,                0.59073,                0.63926,                0.37583,                 1.5007,                 1.2776,                  1.747,               0.003169,               0.003169,               0.003169
